h,theta,diam_plat,mass,gci,T,F,m_act,m_link,deflection_mm
0.055,110,0.119,625.441896807109,-0.738458598949849,2.42737329449729,81.7746723253321,195,13.4806322690364,0.500000009584657
0.0775,70,0.113,617.02295421442,-0.880506463703217,3.39145784660928,26.5411693019138,195,10.6743180714734,0.500000000000344
0.0325,136.666666666667,0.107,139.520220483195,-0.697530662012801,0.378751272681797,21.4461672057855,41,5.50674016106514,0.500000000985922
0.08875,96.6666666666667,0.101,617.517918915639,-0.79631625740357,3.81415695451886,20.8314853430561,195,10.8393063052131,0.499999999998826
0.04375,56.6666666666667,0.1238,291.99927355441,-0.625189860043519,1.30507915422515,23.8869859608009,90,7.3330911848034,0.500000000090839
0.06625,123.333333333333,0.1178,624.545480152902,-0.856474039208036,4.14810072944492,56.5295834768891,195,13.1818267176338,0.50000000067223
0.02125,83.3333333333333,0.1118,137.651988237698,-0.222688332294977,0.236548606612612,17.7008878446513,41,4.88399607923256,0.500000002582181
0.094375,43.3333333333333,0.1058,356.292366060365,-0.659994242250038,1.99608187433452,20.2991627048488,107,11.7641220201217,0.500000000001322
0.049375,145.555555555556,0.0998,414.264339312948,-0.825332150719452,1.80979567898192,710.70377955264,107,31.0881131043159,0.499999999999485
0.071875,105.555555555556,0.1226,623.253210909218,-0.759839040304749,4.5310028268296,41.7479820739372,195,12.7510703030728,0.500000000007335
0.026875,65.5555555555556,0.1166,139.168460548883,-0.331573368244663,0.00517349514271699,18.2889533587528,41,5.38948684962759,0.499999999997202
0.083125,132.222222222222,0.1106,617.570470300357,-0.861305421437316,4.7320354323763,23.2329252195852,195,10.8568234334523,0.499999999998837
0.038125,92.2222222222222,0.1046,339.792994806383,-0.595278580057955,1.39291288551456,27.8464020878476,107,6.26433160212755,0.499999999997899
0.060625,52.2222222222222,0.0986,612.279327052345,-0.727117828342834,2.7593183104137,40.1469840547587,195,9.09310901744838,0.499999999998963
0.015625,118.888888888889,0.1214,138.317030454258,-0.156887114842213,0.462963502675501,17.0111856005148,41,5.105676818086,0.50000000000655
0.0971875,78.8888888888889,0.1154,622.985462396506,-0.84689885245115,3.28482271853124,20.4893009838751,195,12.6618207988352,0.500000000043303
0.0521875,38.8888888888889,0.1094,369.006401089156,-0.915066023766853,2.06338955356883,146.695230259219,107,16.0021336963852,0.499999999999626
0.0746875,141.111111111111,0.1034,614.118589520838,-0.695812361160323,5.34895058799516,25.485426162993,195,9.70619650694608,0.499999999999331
0.0296875,101.111111111111,0.0974,137.973256579177,-0.532241164100688,0.755192337606837,22.3825731556971,41,4.99108552639217,0.499999999997678
0.0859375,61.1111111111111,0.1202,620.466372306813,-0.815073439700688,2.89632141588773,23.8654473619245,195,11.8221241022711,0.500000000033043
